NOME CAMPO;TIPO ;DELIMITADOR;SIGNIFICADO
NOME_EMPRESARIAL;VARCHAR;Ponto e Virgula;NOME DA EMPRESA
INICIO_ATIVIDADE;VARCHAR;Ponto e Virgula;DATA DE INICIO DE ATIVIDADE
NUMERO_DO_ALVARA;VARCHAR;Ponto e Virgula;NUMERO LICENÇA
DATA_EMISSAO;VARCHAR;Ponto e Virgula;DATA DE EMISSÇO DA LICENÇA
DATA_EXPIRACAO;VARCHAR;Ponto e Virgula;DATA DE EXPIRA€ÇO DA LICENÇA
ATIVIDADE_PRINCIPAL;VARCHAR;Ponto e Virgula;DESCRIÇÃO ATIVIDADE PRINCIPAL
ATIVIDADE_SECUNDARIA1;VARCHAR;Ponto e Virgula;DESCRIÇÃO ATIVIDADE SECUNDARIA 01
ATIVIDADE_SECUNDARIA2;VARCHAR;Ponto e Virgula;DESCRIÇÃO ATIVIDADE SECUNDARIA 02
ENDERECO;VARCHAR;Ponto e Virgula;RUA DE ENDEREÇO
NUMERO;VARCHAR;Ponto e Virgula;NUMERO PREDIAL
UNIDADE;VARCHAR;Ponto e Virgula;IDENTIFICAÇÃO DA UNIDADE
ANDAR;VARCHAR;Ponto e Virgula;IDENTIFICAÇÃO DO ANDAR
COMPLEMENTO;VARCHAR;Ponto e Virgula;COMPLEMENTO DO ENDEREÇO
BAIRRO;VARCHAR;Ponto e Virgula;BAIRRO DO ENDEREÇO
CEP;VARCHAR;;CEP DO ENDEREÇO

